Alexander Domínguez Carabalí	Ecuatoriano	05-06-1987	196	35	Liga de Quito	Portero	00	00	
Hernán Ismael Galíndez	Ecuatoriano	30-03-1987	189	35	Aucas	Portero	00	00	
Piero Martín Hincapié Reyna	Ecuatoriano	09-01-2002	184	20	Bayer Leverkusen	Defensa	00	00	
Robert Arboleda	Ecuatoriano	22-10-1991	188	31	São Paulo F. C.	Defensa	00	00	
Pervis Josué Estupiñán Tenorio	Ecuatoriano	21-01-1998	175	24	Brighton & Hove Albion F. C.	Defensa	00	00	
Angelo Smit Preciado Quiñónez	Ecuatoriano	18-02-1998	173	24	K. R. C. Genk	Defensa	00	00	
Jackson Gabriel Porozo Vernaza	Ecuatoriano	04-08-2000	192	22	E. S. Troyes A. C.	Defensa	00	00	
Xavier Arreaga	Ecuatoriano	28-09-1994	184	28	Seattle Sounders	Defensa	00	00	
Diego Palacios	Ecuatoriano	12-07-1999	169	23	Los Angeles F. C.	Defensa	00	00	
Félix Torres Caicedo	Ecuatoriano	11-01-1997	187	25	Santos Laguna	Defensa	00	00	
William Joel Pacho Tenorio	Ecuatoriano	16-10-2001	187	21	Royal Antwerp F. C.	Defensa	00	00	
Carlos Armando Gruezo Arboleda	Ecuatoriano	19-04-1995	173	27	F. C. Augsburgo	Mediocampista	00	00	
José Adoni Cifuentes Charcopa	Ecuatoriano	12-03-1999	175	23	Los Angeles F. C.	Mediocampista	00	00	
Alan Javier Franco	Ecuatoriano	11-10-1996	183	26	Atlanta United	Mediocampista	00	00	
Moisés Isaac Caicedo Corozo	Ecuatoriano	02-11-2001	178	21	Brighton & Hove Albion F. C.	Mediocampista	00	00	
Ángel Israel Mena Delgado	Ecuatoriano	21-01-1988	168	34	C. León	Mediocampista	00	00	
Jeremy Leonel Sarmiento Morante	Ecuatoriano	16-06-2002	173	20	Brighton & Hove Albion F. C.	Mediocampista	00	00	
Jhegson Sebastián Méndez Carabalí	Ecuatoriano	26-04-1997	175	25	Los Angeles F. C.	Mediocampista	00	00	
Eduar Ayrton Preciado García	Ecuatoriano	17-07-1994	180	28	Santos Laguna	Mediocampista	00	00	
Gonzalo Jordy Plata Jiménez	Ecuatoriano	01-11-2000	178	22	Real Valladolid C. F.	Mediocampista	00	00	
Romario Andrés Ibarra Mina	Ecuatoriano	24-09-1994	176	28	C. F. Pachuca	Mediocampista	00	00	
Djorkaeff Reasco	Ecuatoriano	18-01-1999	172	23	Newell's Old Boys	Delantero	00	00	
Kevin José Rodríguez Cortez	Ecuatoriano	04-03-2000	182	22	Independiente del Valle	Delantero	00	00	
Michael Estrada	Ecuatoriano	07-04-1996	188	26	Cruz Azul	Delantero	00	00	
Enner Remberto Valencia Lastra	Ecuatoriano	04-11-1989	177	33	Fenerbahçe S. K.	Delantero	00	00	
